DP-BNI|343195|331611|Receive Free of Payment|BNI01000300189|ADHI|50000|20140630||
DP.ASDP|343181|331587|Delivery Versus Payment|BNI01012500163|AALI|50000|20140630|IDR|1430695000.00
Bank BNI s/a Di|343180|N000331606-2|Delivery Versus Payment|40239|USY20721BE87|200000|20140630|USD|175927.08
Bank BNI s/a Di|343179|N000331607-2|Receive Versus Payment|40239|USY20721BD05|200000|20140630|USD|189106.25
PERUM JAMKRINDO|343123|331517|Receive Versus Payment|BNI01004700151|PTPP|100000|20140630|IDR|179358000.00
PERUM JAMKRINDO|343121|331516|Receive Versus Payment|BNI01004700151|BBCA|50000|20140630|IDR|536070000.00
DP.BNI SCHRODER|343091|331479|Receive Versus Payment|BNI01009600166|AALI|9800|20140630|IDR|281960332.00
DP.BNI SCHRODER|343085|331472|Delivery Versus Payment|BNI01009600166|BBNI|54100|20140630|IDR|258776468.00
DP.BNI SCHRODER|343084|331473|Delivery Versus Payment|BNI01009600166|SMGR|68600|20140630|IDR|1024120009.00
DP.BNI SCHRODER|343083|331474|Delivery Versus Payment|BNI01009600166|BBNI|126300|20140630|IDR|604440466.00
DP.BNI SCHRODER|343081|331475|Delivery Versus Payment|BNI01009600166|MAIN|51100|20140630|IDR|137534877.00
DP.BNI SCHRODER|343080|331476|Delivery Versus Payment|BNI01009600166|AKRA|14600|20140630|IDR|66022702.00
DP.BNI SCHRODER|343075|331477|Receive Versus Payment|BNI01009600166|PTPP|239900|20140630|IDR|432708088.00
DP.SINT CAROLUS|343073|331471|Receive Versus Payment|BNI01002100147|XIJI|100000|20140630|IDR|66352160.00
DP.JASA TIRTA I|343072|331470|Receive Versus Payment|BNI01015600123|INTP|10000|20140630|IDR|228068750.00
DP.JASA TIRTA I|343071|331469|Receive Versus Payment|BNI01015600123|GGRM|2500|20140630|IDR|130292500.00
DP.JASA TIRTA I|343070|331468|Receive Versus Payment|BNI01015600123|INTP|10000|20140630|IDR|227818124.00
DP.JASA TIRTA I|343069|331467|Receive Versus Payment|BNI01015600123|INTP|10000|20140630|IDR|226815625.00
DP.JASA TIRTA I|343068|331466|Receive Versus Payment|BNI01015600123|GGRM|2500|20140630|IDR|130325000.00
DP-PELNI|343067|331465|Receive Versus Payment|BNI01001900184|ADHI|50000|20140630|IDR|135337500.00
DP-JABAR|343063|331450|Receive Versus Payment|BNI01003600112|BBCA|15000|20140630|IDR|160788900.00
DP-JABAR|343062|331451|Receive Versus Payment|BNI01003600112|BMRI|15000|20140630|IDR|145786847.00
DP-JABAR|343061|331448|Delivery Versus Payment|BNI01003600112|AALI|6000|20140630|IDR|171982500.00
DP-JABAR|343060|331449|Receive Versus Payment|BNI01003600112|ASII|20000|20140630|IDR|144259200.00
BNP PARIBAS S/A|343055|331443|Delivery Versus Payment|BNI01018900143|ITMG|6700|20140630|IDR|182186979.00
BNP PARIBAS S/A|343054|331442|Delivery Versus Payment|BNI01018900143|BMRI|94500|20140630|IDR|920086076.00
BNP PARIBAS S/A|343053|331441|Receive Versus Payment|BNI01018900143|TLKM|279800|20140630|IDR|691168233.00
BNP PARIBAS S/A|343052|331440|Receive Versus Payment|BNI01018900143|JSMR|146400|20140630|IDR|878929214.00
BNP PARIBAS S/A|343050|331438|Delivery Versus Payment|BNI01030600161|TSPC|8100|20140630|IDR|24071969.00
BNP PARIBAS S/A|343048|331437|Receive Versus Payment|BNI01030600161|TLKM|30200|20140630|IDR|74234824.00
BNP PARIBAS S/A|343034|331425|Receive Versus Payment|BNI01018200127|TLKM|30500|20140630|IDR|74972256.00
PT.MEGA AM S/A |343033|331424|Receive Versus Payment|BNI01028500113|WIKA|50000|20140630|IDR|108216000.00
PT. MAM s/a JUL|343032|331423|Receive Versus Payment|BNI01028700173|WIKA|100000|20140630|IDR|216432000.00
PT. MAM s/a JUL|343031|331422|Receive Versus Payment|BNI01028700173|MLPL|300000|20140630|IDR|205911000.00
PT. MAM s/a JUL|343030|331421|Receive Versus Payment|BNI01028700173|INTP|10000|20140630|IDR|226201500.00
PT. MAM s/a JUL|343029|331420|Receive Versus Payment|BNI01028700173|LPCK|50000|20140630|IDR|346942500.00
