 TANGGAL	MEMBER CODE	SERI SURAT BERHARGA	AIDNO	NAMA NASABAH	CUSTODY CODE	INVESTOR TYPE	STATUS REKENING	POSISI REKENING	NOMINAL
19/12/2019	SRBNINIDJA	FR0031	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	440000000000
19/12/2019	SRBNINIDJA	FR0031	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	3500000000
19/12/2019	SRBNINIDJA	FR0031	BNI-DP-A	DP BNI	CR	PF	AC	+	92364000000
19/12/2019	SRBNINIDJA	FR0031	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0031	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	838000000
19/12/2019	SRBNINIDJA	FR0034	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	50000000000
19/12/2019	SRBNINIDJA	FR0034	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0034	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	800000000
19/12/2019	SRBNINIDJA	FR0034	BNI-DP-A	DP BNI	CR	PF	AC	+	151742000000
19/12/2019	SRBNINIDJA	FR0034	DP-POS	DP Pos Indonesia	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0034	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0034	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0035	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0035	BNI-DP-A	DP BNI	CR	PF	AC	+	92000000000
19/12/2019	SRBNINIDJA	FR0035	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0035	DP.HII	DP.HII	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0035	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0037	160211030001	REKSA DANA TERPROTEKSI PRATAMA TERPROTEKSI V	CR	MF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0037	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0037	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	17500000000
19/12/2019	SRBNINIDJA	FR0037	BNI-DP-A	DP BNI	CR	PF	AC	+	46700000000
19/12/2019	SRBNINIDJA	FR0039	BNI-DP-A	DP BNI	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0039	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	506000000
19/12/2019	SRBNINIDJA	FR0039	TEL-DP	DP. Telkom	CR	PF	AC	+	175470000000
19/12/2019	SRBNINIDJA	FR0040	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	100000000000
19/12/2019	SRBNINIDJA	FR0040	140192230001	KPD SCHRODERS S/A DP FREEPORT	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0040	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0040	BNI-DP-A	DP BNI	CR	PF	AC	+	187720000000
19/12/2019	SRBNINIDJA	FR0040	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0040	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0040	TEL-DP	DP. Telkom	CR	PF	AC	+	320000000000
19/12/2019	SRBNINIDJA	FR0042	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0042	PT-JASINDO	PT. ASURANSI JASA INDONESIA	CR	IS	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0042	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0042	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0042	BNI-DP-A	DP BNI	CR	PF	AC	+	109000000000
